"SecondarySubjectID","EnrollmentType","Q1_-_Online course materials were organized to help me navigate through the course week by week.","Q1_-_Online interactions with my instructor created a sense of connection in the virtual classroom.","Q1_-_Online course interactions created a sense of community and connection to my classmates.","Q1_-_I had the necessary computer skills and technology to successfully complete the course.","Q2_Please comment on your experience of the online course environment in the open-ended text box.","Q3_How often did you attend this class both in-person and remotely?_How often did you attend this class both in-person and remotely?","Q4_The number of hours per week I devoted to this course outside scheduled class meeting times._The number of hours per week I devoted to this course outside scheduled class meeting times.","Q5_What I could have done to make this course better for myself.","Q6_-_The syllabus was accurate and helpful in delineating expectations and course outcomes.","Q6_-_Required and additional course materials were helpful in achieving course outcomes.","Q7_-_In-class sessions were helpful for learning.","Q7_-_Out-of-class assignments and/or fieldwork were helpful for learning.","Q7_-_This course was intellectually challenging.","Q7_-_I learned a lot in this course.","Q8_-_The instructor came to class prepared to teach.","Q8_-_The instructor used class time effectively.","Q8_-_The instructor clearly communicated ideas and information.","Q8_-_The instructor provided sufficient feedback.","Q8_-_The instructor fairly evaluated my performance.","Q8_-_The instructor was available to assist students outside of class.","Q8_-_The instructor facilitated a respectful and inclusive learning environment.","Q8_-_The instructor displayed enthusiasm for the course.","Q9_What were the strengths of this course and/or this instructor?","Q10_What could the instructor do to make this course better?","Q11_Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.","Q12_What is your overall rating of this instructor's teaching effectiveness?_What is your overall rating of this instructor's teaching effectiveness?"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Agree","Neutral","Agree","D/A","80-100%","8-10","D/A","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Production hardening for projects","Structure more around whats taught in class rather than only project based ","Instructor tying syllabus to real-world industry practices","Usually Effective"
"001791750","System","Agree","Agree","Agree","Agree","D/A","60-80%","8-10","D/A","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The online course environment was really engaging and helpful!","80-100%","More than 10","The course was an absolute success for me!","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Professor Mohammadi delivers a well-structured, industry-relevant course covering the full MLOps lifecycle with modern tools like Docker, Kubernetes, MLflow, and GCP. The flexible lab structure and hands-on approach make complex concepts practical and easy to follow. The MLOps Innovation Expo is a highlight, connecting students with real industry professionals and providing valuable real-world experience.","The course is well-structured and nothing significant needs to be changed at this time.","Professor Mohammadi fosters an inclusive learning environment by offering flexible lab choices that accommodate different learning paces and interests. The course welcomes students from diverse technical backgrounds through clear prerequisites and structured progression. His open communication channels and collaborative project-based learning ensure all students have equal opportunities to succeed.","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","I would have loved it if I had come with more ML core background, ","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Prof Ramin comes with a lot of industry experience, and it has helped us understand the topics better when he explains with examples/ scenarios from work. ","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Very well organized abundance of resources.","80-100%","More than 10","Time management since day 1","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Depth of domain knowledge","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","5-7","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Amazing","80-100%","More than 10","N/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Everything was great.","N/A","Amazing","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","n/a","80-100%","More than 10","n/a","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","teaching is good","n/a","n/a","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Usually Effective"
"001791750","System","Agree","Agree","Agree","Agree","D/A","80-100%","More than 10","D/A","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The materials and tasks to submit were clear.  ","D/A","One of the best instructors I have had so far. Very enthusiastic, always open to help the students and you can tell he really knows and enjoys what he does!","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","it was very fun","80-100%","More than 10","took more time to learn the vast syllabus","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","very informative","nothing","nothing","Almost Always Effective"
"001791750","System","Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","N/A","N/A","N/A","N/A","D/A","80-100%","8-10","D/A","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Agree","Agree","Agree","Agree","D/A","80-100%","5-7","D/A","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Very interactive and had more focus on practical applications","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Agree","Agree","Agree","Agree","D/A","60-80%","8-10","D/A","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","D/A","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","good","80-100%","More than 10","spent more time and doing somehing more than that course","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","good","explain more","make it in person lectures","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The experience was good and the project building helped me a lot in learning about the subject.","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The strengths of the course is that it is new in the curriculum and is much more relatable to the current industry. The instructor is well versed with the course and knows how to deliver it to the class.","D/A","D/A","Almost Always Effective"
"001791750","System","Agree","Agree","Neutral","Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","N/A - course was predominantly offline. Classes were held online only during unforeseeable circumstances (snow fall/ prof. requirements)","80-100%","8-10","Look up more into technologies documentation for better understanding - not required, but deeper understanding will help while working on the final product.","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","I loved Prof. Ramin's classes, his way of communication and the coursework intrigue you to learn more about the subject. The Google expo at the end of the course does motivate you to get the best product out.","D/A","Strengths: Communication, Subject expertise
Weaknesses: N/A","Almost Always Effective"
"001791750","System","Agree","N/A","Agree","Strongly Agree","D/A","80-100%","3-4","D/A","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","5-7","D/A","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","practical learning","D/A","D/A","Almost Always Effective"
"001791750","System","Agree","Neutral","Neutral","Agree","D/A","80-100%","8-10","
","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","D/A","D/A","Professor Ramin gave all us students in this class an amazing opportunity to present our projects at Google offices, and this is the level of course i think all grad level courses should be- complete end-to-end product development to properly prepare for real world jobs. Huge thanks!","Usually Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Organic course materials were very organized with clear instructions.","80-100%","8-10","I should have spent more time hands-on with the deployment tools and pipelines outside of assignments to build a stronger practical understanding of the MLOps workflow.","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The course gave a really solid overview of the full MLOps lifecycle, from CI/CD pipelines to model deployment and monitoring. The hands-on labs with tools like MLflow, GitHub Actions, ELK Stack, and GCP made the concepts stick way more than just reading about them would. The instructor explained things clearly and made sure the material stayed practical and relevant to real-world workflows.","The course was already well put together. The lab-based approach kept things engaging and the progression from one topic to the next felt natural. Just keep the same structure going, it works really well.","The instructor was approachable and made it easy for students to ask questions without feeling judged. The lab assignments were well documented, which helped students at different experience levels follow along and learn at their own pace. Overall, the instructor created a supportive learning environment that made a technical course like MLOps feel accessible to everyone.","Almost Always Effective"
"001791750","System","Strongly Disagree","N/A","Strongly Disagree","Agree","D/A","80-100%","More than 10","not taken this class","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","None","Give students more than 10 mins a week after 9.30 pm to talk to the prof - be more involved with students","Hold more in-person or online office hours;
Have proper instructions/Readme for labs;
Cover topics that are industry standard;
Not be a Slide reader","Never Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Agree","Agree","Agree","Agree","D/A","80-100%","5-7","D/A","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","N/A","N/A","N/A","N/A","The lectures were recorded on Zoom, but I mostly attended classes in offline setting to learn. Professor was super helpful.","80-100%","More than 10","Rewatched the Zoom recordings few more times.","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Professor has real world experience too with MLOps concepts so he knew exactly what to teach and how to teach.","maybe add MCQ quizzes too","Professor has real world experience in MLOps domain","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","The Professor had immense knowledge on the topics he taught and the way it was delivered to us made the course fun and intersting to learn.","NIL","His deep knowledge in the domain is what I feel his strength is.","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","60-80%","5-7","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Usually Effective"
"001791750","System","N/A","N/A","N/A","N/A","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","More than 10","D/A","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Agree","Agree","Agree","Agree","D/A","80-100%","8-10","D/A","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","D/A","D/A","D/A","Almost Always Effective"
"001791750","System","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","D/A","80-100%","8-10","I could've prepared for the proper pre-requisite knowledge that this course requires","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Main strength of this course is that we all come out of this course having built a complete end to end product that is viable.","The structure of this course is perfect!","D/A","Almost Always Effective"
